imię,nazwisko,ulica,numer_domu,miasto,numer_telefonu,wiek
Andrzej,Jaszcz,Kolorowa,118,Tomaszów Mazowiecki,+48 32 303 80 79,80
Marcel,Gebauer,Lelewela,50,Kętrzyn,+48 722 645 326,49
Róża,Gregorczuk,Plater,146,Mława,+48 577 869 646,25
Jerzy,Pazera,Stroma,67,Świdnik,+48 788 446 404,77
Stefan,Ciereszko,Truskawkowa,20,Włocławek,+48 780 150 672,49
Witold,Pakos,Srebrna,4,Tczew,+48 888 614 983,55
Filip,Raba,Niecała,74,Olsztyn,+48 539 464 103,75
Konstanty,Haponiuk,Grunwaldzka,11,Radom,533 820 592,39
Jan,Dzidek,Kolejowa,32,Poznań,785 035 101,53
Kajetan,Wikło,Szczęśliwa,141,Wołomin,534 918 735,21
Bianka,Fura,Rycerska,7,Nowa Sól,+48 532 951 907,54
Wiktor,Trochimiuk,Jana Sobieskiego,3,Inowrocław,793 504 160,33
Marcin,Damek,Krasickiego,143,Gdynia,22 286 74 71,71
Artur,Kleinschmidt,Wesoła,131,Wodzisław Śląski,737 753 847,28
Melania,Babij,Szczęśliwa,34,Szczytno,+48 603 752 771,24
Olaf,Ślebioda,Wesoła,78,Wejherowo,514 596 330,52
Sylwia,Keler,Piwna,136,Bochnia,532 710 298,76
Piotr,Łój,Wschodnia,130,Łaziska Górne,733 001 958,80
Damian,Fuławka,Konwaliowa,133,Zgierz,+48 698 405 502,34
Piotr,Wygoda,Jaworowa,41,Grudziądz,+48 577 899 291,53
Marek,Jarmuła,Kamienna,75,Wągrowiec,+48 738 055 295,31
Mateusz,Tadla,Jaskółcza,115,Zamość,538 212 043,25
Jacek,Mędrala,Wysoka,77,Żagań,+48 574 073 678,24
Kaja,Jędrzejek,Tartaczna,152,Grudziądz,887 781 599,29
Sonia,Saran,Lubelska,54,Gorzów Wielkopolski,+48 536 751 890,63
Franciszek,Śmieszek,Jagiellońska,109,Wieluń,+48 788 990 338,31
Olgierd,Zatoń,Przechodnia,46,Sosnowiec,698 866 956,61
Grzegorz,Łaskawiec,Stawowa,7,Starachowice,+48 736 079 339,43
Miłosz,Mendyka,Jarzębinowa,30,Jarocin,22 072 22 73,70
Melania,Jarczak,Poprzeczna,22,Wrocław,+48 577 296 261,42
Gabriel,Ślimak,Kasprowicza,142,Legionowo,+48 516 404 137,59
Arkadiusz,Pacewicz,Gajowa,143,Białystok,+48 697 774 932,53
Anita,Zachwieja,Lipca,82,Ostrołęka,+48 885 052 834,76
Borys,Szok,Wesoła,20,Nowy Dwór Mazowiecki,607 348 860,31
Ada,Fidor,Pogodna,116,Świebodzice,+48 572 689 369,58
Stefan,Kalka,Okulickiego,122,Rumia,573 001 217,79
Stanisław,Królczyk,Łąkowa,40,Lubin,+48 601 498 114,70
Witold,Suchora,Poziomkowa,112,Ząbki,+48 726 732 184,59
Olaf,Kajdan,Skłodowskiej-Curie,109,Starachowice,+48 539 786 954,62
Sandra,Siciarz,Czereśniowa,25,Wrocław,668 787 838,29
Adam,Dulas,Ciasna,50,Grudziądz,726 657 102,53
Tymoteusz,Kwapisiewicz,Kaliska,27,Żywiec,+48 737 186 807,76
Kornel,Krata,Kusocińskiego,30,Pszczyna,+48 531 906 972,44
Bruno,Żakiewicz,Kilińskiego,74,Wodzisław Śląski,+48 722 366 172,23
Przemysław,Działak,Witosa,40,Tczew,572 788 426,25
Damian,Januszewicz,Wrzosowa,71,Żyrardów,507 925 109,39
Damian,Powałka,Azaliowa,36,Iława,+48 790 213 804,56
Melania,Kuska,Szymanowskiego,129,Swarzędz,571 183 118,63
Wiktor,Igras,Rybacka,54,Wałbrzych,+48 537 535 215,25
Emil,Dering,Jastrzębia,50,Kościerzyna,32 429 98 45,51
Bianka,Stuglik,Topolowa,97,Radom,511 960 519,55
Elżbieta,Hutnik,Jaworowa,77,Zduńska Wola,739 050 143,69
Szymon,Damps,Wojska Polskiego,91,Swarzędz,609 953 368,65
Daniel,Leśna,Zakątek,87,Mysłowice,697 647 738,59
Justyna,Koronkiewicz,Dworska,3,Kluczbork,725 974 873,68
Maciej,Kręcichwost,Konwaliowa,5,Ostróda,+48 539 437 012,58
Łukasz,Nawój,Pocztowa,30,Szczecin,22 796 90 29,21
Jędrzej,Kumorek,Gajowa,63,Kościan,881 140 561,53
Andrzej,Melka,Długosza,56,Olkusz,+48 570 448 282,20
Ewa,Łachut,Grzybowa,40,Lubin,22 053 66 23,59
Patryk,Czerwionka,Konstytucji 3 Maja,56,Szczytno,+48 886 782 529,26
Dorota,Bisaga,Gołębia,19,Skawina,+48 691 871 936,71
Artur,Ładziak,Jasna,147,Skawina,+48 609 381 134,25
Aleksander,Puto,Cyprysowa,23,Brodnica,517 532 395,79
Kornel,Hejduk,Bema,84,Jarosław,722 726 525,76
Nicole,Cieciora,Promienna,8,Inowrocław,+48 22 521 88 28,56
Marcel,Kurach,Złota,59,Zamość,32 960 85 21,28
Nataniel,Tabisz,Kolonia,56,Nowy Sącz,+48 575 307 304,64
Kamila,Kłosiewicz,Wiejska,61,Będzin,+48 736 062 500,55
Krystian,Wojniak,Bociania,61,Żywiec,534 466 691,77
Gustaw,Bzymek,Glówna,150,Kielce,+48 575 940 785,35
Piotr,Nabiałek,Zielona,78,Wałbrzych,790 445 785,19
Roksana,Kluczyk,Jagiellońska,103,Jelenia Góra,723 029 223,74
Arkadiusz,Maron,Szmaragdowa,37,Giżycko,513 422 206,54
Rozalia,Idec,Rejtana,17,Cieszyn,+48 536 294 539,21
Ksawery,Majtyka,Nadrzeczna,32,Luboń,+48 579 815 501,75
Ryszard,Kazek,Lelewela,124,Oleśnica,+48 797 191 260,44
Kazimierz,Kaziród,Słoneczna,52,Knurów,+48 723 390 716,51
Sandra,Dudała,Toruńska,81,Wałbrzych,+48 788 334 404,64
Gaja,Maszczyk,Matejki,94,Tczew,+48 797 234 982,71
Ksawery,Surdyk,Szmaragdowa,4,Turek,+48 889 877 549,51
Aleksander,Kozłowicz,Batalionów Chłopskich,41,Łowicz,796 923 711,66
Inga,Wiertelak,Boczna,141,Brodnica,+48 668 110 106,39
Sylwia,Warmuz,Rumiankowa,90,Kalisz,+48 737 511 234,53
Tadeusz,Siara,Cicha,38,Skierniewice,+48 503 069 430,78
Olga,Kretek,Szmaragdowa,151,Sosnowiec,+48 32 935 16 90,25
Igor,Biernacik,Kilińskiego,110,Gdańsk,789 217 831,24
Jerzy,Burkiewicz,Poznańska,4,Wejherowo,+48 880 067 638,27
Igor,Bryda,Cyprysowa,159,Krotoszyn,+48 600 030 930,37
Wiktor,Glaza,Modrzewiowa,97,Świętochłowice,+48 22 307 42 74,62
Stefan,Zdancewicz,Stolarska,40,Zambrów,+48 694 153 326,80
Marcin,Mały,Reymonta,102,Lębork,693 830 259,31
Angelika,Bartela,Władysława Łokietka,96,Czeladź,+48 534 632 927,57
Roksana,Kazimierczyk,Sowia,99,Kraśnik,605 006 536,38
Leonard,Durczok,Asnyka,110,Żagań,+48 574 343 897,56
Nela,Flieger,Agrestowa,145,Wągrowiec,692 669 396,50
Witold,Deluga,Stroma,156,Giżycko,537 729 538,67
Kacper,Zbiciak,Brzoskwiniowa,63,Wałbrzych,780 117 054,66
Dominik,Zander,Staffa,48,Chorzów,604 268 068,51
Witold,Kozdra,Ceglana,153,Wałbrzych,797 979 991,61
Mateusz,Tomaszczyk,Przechodnia,54,Nowa Ruda,+48 691 374 017,57
Gaja,Salach,Narutowicza,82,Ostrów Wielkopolski,880 647 384,55
Przemysław,Łaszczyk,Plażowa,11,Głogów,519 619 421,37
Janina,Rzucidło,Żeromskiego,96,Jelenia Góra,724 454 169,39
Bartek,Laszczyk,Bursztynowa,92,Police,+48 780 044 576,80
Mieszko,Drewniok,Szewska,98,Sieradz,665 257 532,74
Alan,Głowiak,Staszica,124,Rybnik,883 029 368,29
Aleksander,Korkosz,Stroma,52,Ostróda,519 736 616,34
Kamila,Różewicz,Sarnia,1,Wrocław,32 149 93 78,30
Wojciech,Berus,Częstochowska,59,Dzierżoniów,+48 22 511 40 82,58
Tymoteusz,Biernacik,Krakowska,91,Świdnica,+48 601 736 648,46
Aniela,Kalota,Maja,19,Ząbki,+48 880 938 085,34
Dawid,Przybycień,Koralowa,117,Ełk,+48 736 970 818,21
Marcel,Penkala,Podgórna,6,Bartoszyce,660 867 164,23
Dominik,Nijak,Wiatraczna,39,Bolesławiec,+48 787 272 991,59
Malwina,Kupidura,Targowa,132,Sandomierz,+48 881 523 843,45
Bartek,Krzyśków,Szarych Szeregów,96,Kraków,+48 789 671 087,67
Stanisław,Moździerz,Kopernika,148,Wrocław,+48 888 205 743,33
Paweł,Kotala,Chmielna,5,Łuków,609 101 441,75
Przemysław,Lewko,Mostowa,114,Marki,882 597 165,35
Gabriel,Bartoś,Krasickiego,130,Zambrów,+48 667 092 521,53
Marcelina,Pochroń,Fiołkowa,64,Knurów,32 939 86 33,58
Aleks,Drewniok,Jaśminowa,101,Świdnica,512 903 475,46
Elżbieta,Lorens,Osiedlowa,97,Luboń,575 185 211,33
Apolonia,Piotrowiak,Letniskowa,1,Bytom,+48 792 132 420,38
Rafał,Zadworny,Ptasia,93,Czechowice-Dziedzice,669 524 430,75
Mariusz,Masny,Kolonia,133,Ełk,728 168 145,28
Dorota,Jędrusiak,Źródlana,120,Włocławek,22 901 92 76,52
Maciej,Balawender,Traugutta,43,Piotrków Trybunalski,530 808 894,47
Urszula,Wasiuk,Nadrzeczna,144,Olsztyn,+48 519 665 059,70
Urszula,Kut,Lazurowa,2,Chojnice,666 589 208,55
Blanka,Żywica,Pułaskiego,13,Legionowo,662 470 824,40
Józef,Szkoła,Górna,16,Pabianice,668 016 369,55
Maks,Materek,Chmielna,88,Żary,797 034 418,65
Wiktor,Draus,Korczaka,63,Piekary Śląskie,+48 798 440 500,29
Rafał,Fedorczyk,Zielna,33,Iława,500 692 047,26
Bruno,Czerwionka,Okrężna,53,Tarnowskie Góry,+48 531 453 367,57
Ignacy,Kiwior,Jadwigi,44,Pruszcz Gdański,+48 694 581 520,22
Michał,Kuster,Składowa,71,Puławy,+48 517 359 806,53
Oskar,Rogula,Pułaskiego,153,Jelenia Góra,+48 505 634 374,56
Nela,Kawala,Konarskiego,159,Oświęcim,22 389 61 15,28
Kamil,Siekierka,Listopada,152,Tarnów,579 602 162,65
Aurelia,Hanke,Kasztanowa,59,Siedlce,+48 517 767 452,69
Roksana,Zgoła,Brzoskwiniowa,91,Nowa Ruda,+48 516 033 116,37
Dominik,Husak,Wąska,30,Żagań,+48 32 571 70 60,19
Anita,Bujas,Kruczkowskiego,129,Kołobrzeg,+48 509 698 609,29
Roksana,Wujec,Jesienna,11,Koszalin,570 360 566,72
Sebastian,Głowienka,Traugutta,27,Szczecin,+48 519 010 431,71
Sandra,Borysiak,Sportowa,18,Kraków,+48 534 269 733,27
Mikołaj,Rozynek,Średnia,114,Wołomin,506 610 065,69
Justyna,Glaza,Torowa,73,Dzierżoniów,+48 519 584 681,49
Krystyna,Płócienniczak,Długosza,135,Swarzędz,696 208 879,19
Ewelina,Kmak,Olchowa,135,Płońsk,+48 660 697 307,25
Rafał,Futyma,Wesoła,95,Kraków,+48 513 746 793,53
Maks,Bujko,Rybacka,114,Świdnik,+48 503 811 386,51
Kaja,Kowalówka,Szarych Szeregów,48,Turek,+48 32 313 93 32,77
Krystyna,Berek,Moniuszki,9,Dębica,+48 794 533 324,25
Dominik,Kułach,Czarnieckiego,58,Nowa Sól,+48 886 720 271,30
Józef,Walo,Zacisze,159,Gdynia,737 174 080,58
Błażej,Błaziak,Fredry,29,Iława,782 045 864,79
Marek,Bartkowicz,Polna,95,Żywiec,+48 730 962 099,58
Jacek,Pilarek,Fredry,159,Zgierz,+48 886 305 479,74
Anna Maria,Sładek,Cegielniana,118,Żory,+48 780 343 421,36
Urszula,Labudda,Kopernika,66,Olsztyn,882 372 002,56
Ida,Bulczak,Floriana,52,Dąbrowa Górnicza,662 801 738,30
Konrad,Penkala,Korfantego,59,Środa Wielkopolska,+48 664 265 984,40
Angelika,Hapka,Tuwima,126,Olsztyn,+48 887 063 404,38
Maurycy,Kochanowicz,Poznańska,7,Chrzanów,+48 22 359 46 44,43
Albert,Zapadka,Zakątek,98,Ząbki,+48 665 611 154,43
Anna Maria,Breś,Krzywa,54,Będzin,518 209 514,44
Leon,Hulbój,Akacjowa,131,Otwock,+48 513 019 449,27
Piotr,Ślęczka,Maczka,15,Białystok,694 176 663,61
Maksymilian,Mijas,Głowackiego,98,Śrem,+48 666 660 791,21
Roksana,Kruszka,Młyńska,138,Ruda Śląska,535 926 921,72
Patryk,Babiuch,Zielona,54,Police,+48 575 931 490,32
Tymon,Prygiel,Grzybowa,8,Gorzów Wielkopolski,+48 32 260 56 93,32
Ksawery,Grzejszczak,Łąkowa,67,Turek,662 573 928,49
Antoni,Wojaczek,Piastowska,64,Ełk,534 454 839,19
Krystyna,Rychel,Cedrowa,120,Wyszków,+48 578 023 028,72
Józef,Grotek,Tysiąclecia,128,Gliwice,+48 32 565 36 45,32
Sylwia,Szczubełek,Nadbrzeżna,140,Tomaszów Mazowiecki,+48 792 999 682,30
Marika,Ziegler,Kreta,86,Inowrocław,22 071 13 71,36
Sebastian,Bąbol,Nowa,155,Pruszków,885 710 089,65
Patryk,Januchta,Ludowa,82,Krosno,735 943 049,41
Przemysław,Wojciech,Zbożowa,36,Kłodzko,+48 578 235 435,26
Ignacy,Potoczek,Andersa,85,Nowa Ruda,785 257 092,59
Michał,Szczap,Kolorowa,155,Kościan,505 221 307,39
Adrian,Luberda,Dąbrowskiej,120,Łomża,667 858 967,75
Adrianna,Żmija,Żurawia,36,Starogard Gdański,+48 572 813 341,64
Fryderyk,Kwapis,Lazurowa,87,Świętochłowice,605 095 345,47
Natasza,Danisz,Parkowa,141,Włocławek,+48 721 279 682,41
Ada,Matyszczak,Dworska,47,Chorzów,+48 511 948 130,76
Justyna,Gonet,Dębowa,90,Żory,+48 781 368 030,46
Marcel,Błażejczak,Spacerowa,137,Mysłowice,+48 22 414 06 70,45
Fabian,Mysiak,Glówna,36,Kutno,793 621 060,67
Igor,Osada,Sikorskiego,81,Białystok,574 018 482,37
Kacper,Rolak,Harcerska,136,Rumia,697 048 860,64
Kacper,Staniewicz,Kamienna,23,Goleniów,+48 32 344 10 88,27
Dawid,Żabierek,Wiosenna,158,Pruszków,+48 530 856 842,25
Maurycy,Pałęga,Jaskółcza,101,Gliwice,509 440 822,77
Bartek,Fijoł,Kolorowa,152,Września,+48 534 925 319,42
Cyprian,Nalazek,Matejki,113,Augustów,+48 538 878 032,22
Justyna,Kwoka,Słoneczna,123,Warszawa,+48 516 115 877,60
Paweł,Hanzel,Żeromskiego,155,Chorzów,507 870 923,57
Ewelina,Palak,Słowianska,38,Jaworzno,+48 519 556 708,75
Stanisław,Siemieniec,Irysowa,76,Konin,696 330 367,79
Albert,Majtyka,Kraszewskiego,138,Iława,513 175 911,64
Nicole,Kliszcz,Dojazdowa,141,Katowice,722 899 855,69
Cyprian,Korbut,Kusocińskiego,36,Pszczyna,782 789 889,55
Kornelia,Pyszka,Łanowa,112,Bielawa,507 709 859,55
Klara,Semenowicz,Skłodowskiej-Curie,109,Zduńska Wola,32 126 15 09,66
Anastazja,Karłowicz,Stawowa,153,Legnica,503 858 164,49
Iwo,Wiza,Listopada,108,Nowa Sól,+48 506 764 382,56
Gabriel,Wiraszka,Handlowa,60,Rybnik,508 459 941,21
Alan,Gronostaj,Lwowska,112,Starogard Gdański,736 254 590,30
Patryk,Żok,Wiklinowa,127,Świnoujście,889 745 163,62
Łukasz,Majos,Rolnicza,35,Ostróda,+48 798 012 469,36
Hubert,Latko,Wrocławska,85,Żory,535 697 946,34
Ernest,Mejer,Jastrzębia,113,Zawiercie,883 138 668,20
Michał,Rode,Tęczowa,47,Czechowice-Dziedzice,+48 797 062 185,49
Robert,Bojarczuk,Kaszubska,8,Łuków,22 265 43 37,78
Łukasz,Reichel,Fiołkowa,149,Radom,+48 697 767 544,38
Julian,Bartman,Kaszubska,155,Kołobrzeg,+48 22 582 46 54,40
Stanisław,Brygoła,Sybiraków,32,Piastów,+48 739 668 684,53
Bruno,Magryta,Boczna,38,Pruszcz Gdański,791 028 073,42
Patryk,Gral,Piastowska,119,Zambrów,+48 530 381 398,73
Olga,Parzonka,Baczynskiego,155,Elbląg,+48 699 328 805,36
Kalina,Ważna,Źródlana,57,Bełchatów,+48 573 781 404,58
Igor,Hejduk,Cyprysowa,84,Tarnobrzeg,+48 532 086 390,33
Oskar,Sugier,Piastowska,102,Koszalin,+48 601 909 761,46
Ryszard,Pierz,Wałowa,10,Chełm,+48 602 900 010,77
Olgierd,Stachów,Makuszyńskiego,134,Lubin,+48 505 084 809,80
Marcin,Dąbal,Topolowa,83,Wieluń,+48 692 858 599,62
Jan,Godzisz,Swierkowa,65,Tarnów,+48 889 873 790,23
Eryk,Basak,Wojciecha,137,Suwałki,22 839 75 08,26
Julianna,Szkopek,Sadowa,47,Czerwionka-Leszczyny,+48 502 954 546,57
Fryderyk,Foit,Mała,49,Rumia,32 649 18 63,31
Sandra,Prażuch,Wrzosowa,72,Jaworzno,725 028 862,46
Krzysztof,Chomiuk,Wesoła,144,Pruszków,601 400 159,52
Wojciech,Zaraś,Paderewskiego,72,Będzin,+48 32 044 62 94,57
Mikołaj,Salomon,Błękitna,11,Konin,536 142 806,31
Kaja,Widłak,Cedrowa,32,Ostrołęka,+48 698 272 156,52
Igor,Walkusz,Piękna,47,Mława,696 996 950,58
Daniel,Basa,Lipca,54,Krotoszyn,607 921 994,35
Dariusz,Chojna,Mickiewicza,54,Bielsk Podlaski,+48 723 155 621,68
Aurelia,Ładziak,Średnia,155,Iława,+48 511 910 498,26
Rafał,Gadzała,Sikorskiego,149,Żywiec,+48 601 987 901,46
Grzegorz,Gabryel,Browarna,147,Przemyśl,+48 601 108 873,74
Nataniel,Karwot,Wyzwolenia,66,Polkowice,+48 516 187 437,56
Inga,Barłóg,Asnyka,77,Szczytno,733 695 955,69
Sylwia,Sabała,Głowackiego,23,Legnica,+48 795 613 236,67
Konrad,Gordon,Krasińskiego,32,Turek,+48 510 067 634,47
Jan,Skotarek,Robotnicza,31,Chorzów,734 362 834,24
Aleksander,Słowiak,Handlowa,151,Bartoszyce,782 947 153,75
Franciszek,Fleszar,Jodłowa,91,Oława,885 271 445,55
Witold,Kidawa,Robotnicza,138,Sochaczew,+48 576 036 982,21
Piotr,Kliszcz,Cedrowa,126,Świętochłowice,509 769 947,34
Cyprian,Sykut,Akacjowa,4,Myszków,515 098 543,58
Adrianna,Malcher,Wczasowa,107,Nowy Dwór Mazowiecki,+48 32 602 09 58,57
Fabian,Stypa,Dąbrowskiej,48,Włocławek,+48 788 191 947,72
Blanka,Bobrowicz,Księżycowa,144,Piła,+48 697 315 210,72
Radosław,Krzyżostaniak,Skłodowskiej-Curie,11,Oleśnica,+48 791 480 494,59
Antoni,Golisz,Łączna,152,Świebodzice,725 324 124,70
Gustaw,Prokopczyk,Dworska,140,Grudziądz,+48 660 960 680,45
Dawid,Chromy,Zaciszna,108,Myszków,+48 799 600 685,34
Wiktor,Zaczyk,Traugutta,54,Jaworzno,32 268 40 83,19
Wiktor,Krystkowiak,Radosna,37,Wieluń,+48 502 492 570,44
Juliusz,Halik,Dąbrowskiej,90,Myszków,22 110 14 99,56
Cyprian,Pakos,Pałacowa,94,Oświęcim,+48 32 629 95 81,27
Łukasz,Miąsko,Jana Sobieskiego,148,Tomaszów Mazowiecki,511 088 182,44
Inga,Borysiewicz,Podgórna,46,Poznań,795 548 711,72
Gabriel,Mordal,Wiosenna,10,Zakopane,+48 32 717 78 87,49
Olga,Dziopa,Willowa,159,Tarnów,692 899 220,26
Robert,Bystroń,Jana III Sobieskiego,101,Ostrów Wielkopolski,+48 572 166 277,41
Norbert,Winek,Topolowa,155,Wrocław,+48 886 648 436,69
Wiktor,Białk,Chopina,38,Szczecinek,797 053 237,29
Mieszko,Konrad,Targowa,18,Ostrów Wielkopolski,+48 32 894 62 18,78
Urszula,Bubak,Fabryczna,56,Kłodzko,+48 22 460 93 80,68
Jerzy,Paczos,Miodowa,70,Siemianowice Śląskie,664 515 082,62
Angelika,Brachaczek,Bursztynowa,90,Wyszków,+48 797 782 040,47
Janina,Matyjas,Fredry,61,Legionowo,724 273 717,74
Blanka,Heleniak,Kraszewskiego,42,Dzierżoniów,+48 506 937 450,32
Przemysław,Rok,Lubelska,86,Kołobrzeg,577 306 209,67
Malwina,Lampart,Bałtycka,12,Koszalin,504 338 547,70
Tobiasz,Samulak,Wilcza,148,Skarżysko-Kamienna,608 927 700,55
Stefan,Rząd,Północna,19,Wrocław,781 935 504,50
Klara,Kieca,Widok,89,Ząbki,+48 601 415 684,19
Ignacy,Pielach,Łanowa,132,Iława,+48 782 083 327,22
Adrian,Bernatowicz,Długa,25,Zambrów,+48 698 415 006,35
Lidia,Palonek,Jaworowa,98,Czeladź,+48 605 004 635,47
Elżbieta,Kłósek,Jana III Sobieskiego,124,Nowy Targ,22 853 81 31,56
Tomasz,Fedyk,Leśna,136,Piotrków Trybunalski,+48 697 303 413,39
Juliusz,Ulrych,Pułaskiego,142,Legnica,+48 791 296 473,63
Łukasz,Stanisławczyk,Szmaragdowa,106,Kołobrzeg,+48 571 496 343,31
Mariusz,Bogaczyk,Zbożowa,73,Gdańsk,781 892 992,36
Ida,Wąsiewicz,Reymonta,150,Sochaczew,660 979 232,42
Kamila,Korzekwa,Topolowa,29,Wągrowiec,575 547 177,50
Dominik,Wołoch,Glówna,23,Tomaszów Mazowiecki,691 197 601,33
Sylwia,Stasica,Górnicza,132,Mława,+48 22 871 13 10,79
Ida,Karol,Miła,96,Poznań,+48 22 186 29 80,32
Maks,Tadla,Popiełuszki,126,Ostrów Mazowiecka,+48 797 616 195,69
Ernest,Sierżant,Wyspiańskiego,121,Świnoujście,662 012 561,49
Tomasz,Grochola,Solidarnosci,21,Ostrów Wielkopolski,+48 795 479 691,56
Kajetan,Ellwart,Rybacka,121,Lubin,600 102 954,55
Ada,Fura,Lisia,61,Włocławek,531 317 622,41
Eryk,Smela,Wyspiańskiego,79,Kłodzko,+48 794 330 673,53
Angelika,Leszczuk,Wojska Polskiego,46,Września,+48 737 801 609,75
Krzysztof,Łacina,Ptasia,83,Elbląg,+48 738 692 394,52
Kamila,Such,Skłodowskiej-Curie,82,Kętrzyn,+48 798 610 639,44
Piotr,Cader,Staszica,114,Oleśnica,606 429 053,54
Krzysztof,Grzelec,Orkana,94,Leszno,+48 500 990 151,32
Adrianna,Zdziech,Wiklinowa,74,Łowicz,+48 887 859 753,26
Filip,Wandas,Krasickiego,77,Zakopane,+48 32 420 29 23,52
Elżbieta,Walo,Jabłoniowa,30,Radom,+48 577 303 308,44
Tobiasz,Chruszcz,Rolnicza,24,Opole,883 528 586,74
Angelika,Michalczak,Ludowa,26,Brodnica,+48 696 002 030,49
Klara,Ulewicz,Torowa,10,Giżycko,535 235 140,43
Aleks,Praczyk,Tylna,139,Wałbrzych,+48 697 404 865,21
Norbert,Palej,Bałtycka,9,Legionowo,699 709 237,72
Konrad,Olas,Bursztynowa,117,Jaworzno,22 072 24 22,61
Fabian,Ograbek,Kaszubska,83,Lubliniec,796 101 821,72
Ksawery,Galik,Składowa,133,Września,+48 577 944 586,69
Jan,Kubów,Rejtana,85,Zgorzelec,+48 577 598 527,38
Mikołaj,Kośnik,Źródlana,22,Nowy Dwór Mazowiecki,532 496 334,56
Malwina,Koziatek,Wąska,84,Marki,+48 517 071 704,71
Mateusz,Bajak,Mieszka I,11,Żory,793 160 820,43
Adrianna,Pałgan,Miodowa,55,Nowy Dwór Mazowiecki,+48 739 433 511,61
Róża,Gmurczyk,Cisowa,47,Gdynia,+48 726 764 323,34
Oliwier,Karłowicz,Letniskowa,157,Brodnica,+48 722 879 295,19
Marcin,Korzekwa,Sportowa,4,Świnoujście,886 643 325,59
Łukasz,Kojder,Dobra,81,Tarnowskie Góry,+48 792 346 328,58
Sylwia,Golonko,Kielecka,110,Gorzów Wielkopolski,724 327 835,38
Artur,Wawszczyk,Górna,112,Kościerzyna,+48 780 848 870,58
Adrianna,Potok,Klasztorna,59,Sandomierz,+48 22 212 78 36,68
Kamila,Przewoźny,Boczna,143,Nowy Sącz,+48 690 518 307,44
Julianna,Staręga,Wiejska,38,Ostróda,605 322 375,18
Lidia,Janisz,Chełmońskiego,136,Kościerzyna,+48 609 416 601,56
Dariusz,Szpyrka,Morelowa,36,Łomża,+48 788 135 539,27
Aurelia,Pastuszko,Szmaragdowa,147,Nowa Sól,+48 22 036 13 06,79
Przemysław,Osojca,Zielona,85,Pszczyna,536 156 361,57
Natasza,Marach,Kolorowa,124,Jawor,538 869 134,76
Kacper,Zioła,Źródlana,53,Turek,+48 573 767 539,73
Kamila,Madera,Srebrna,111,Stargard Szczeciński,+48 798 023 353,73
Jan,Brach,Wierzbowa,150,Bełchatów,+48 573 915 951,46
Rafał,Styn,Turkusowa,150,Szczecin,781 507 785,77
Marianna,Galos,Jarzębinowa,63,Piaseczno,576 697 259,78
Oskar,Mordak,Stolarska,156,Zambrów,22 452 82 69,21
Mateusz,Szczubełek,Rzeczna,48,Kutno,+48 691 235 628,37
Marek,Kościukiewicz,Sienkiewicza,63,Dębica,796 038 514,66
